Name,Hash,Meter,BPM,Total stream,Stream density
Stamina RPG 6/[13] [185] Hoshizora no Ima,33cc05c5a6468b0f61e50dff7bb5bb0113b90dae,13,185.0,31.0,0.5636363636363636
Stamina RPG 6/[13] [161] Laughable Butane Bob,c36d8ffdeec4b61e8e3943a36d64b5957b7a32ad,13,160.841,67.0,0.6504854368932039
Stamina RPG 6/[13] [155] Masters of the Galaxy,07fc4623b4ca8a6fd216642a40694901f76c1057,13,155.0,116.0,0.703030303030303
Stamina RPG 6/[13] [174] Pluripotency,1029df8c11a166c23df3f23b4837534afb15587f,13,174.0,52.0,0.6933333333333334
Stamina RPG 6/[13] [152] Rain,721baef91a4778b0cbc3c71e3c590ac18da39f7e,13,152.045,85.0,0.8095238095238095
Stamina RPG 6/[13] [175] Sign,b1704c834fccb6842d3041640ac182a0874dfc6a,13,175.0,78.0,0.5611510791366906
Stamina RPG 6/[13] [135] Terragen,71914af5886f49da62b9646fdf2aabb73dbd2c2f,13,135.0,178.0,0.7982062780269058
Stamina RPG 6/[13] [162] They Who Govern Reason,ef7aa102dfe694dcc4c8abe3db5b42274726da95,13,162.0,91.0,0.5617283950617284
Stamina RPG 6/[13] [148] Virtual Pilgrim,942ad605a3a6e5f7a8738c3530a9ebfb657bbb41,13,148.0,119.0,0.8623188405797102
Stamina RPG 6/[13] [168] Wu Xuan Lan,87e215ed72e0a461331473f78600c7f456b4f1a6,13,167.913,55.0,0.859375
Stamina RPG 6/[14] [163] Adrenaline,8e4e79f33dcadede5454a93bd9b52d73c9f2e991,14,163.0,97.0,0.8584070796460177
Stamina RPG 6/[14] [170] Akatsuki,7d3538c0668d734614c1539f38cef5ef459b68d9,14,170.0,103.0,0.533678756476684
Stamina RPG 6/[14] [185] archive.zip,a0d8cf5d128bab885d5ff5e8acdbecc3000b21ca,14,185.0,51.0,0.796875
Stamina RPG 6/[14] [174] Control,bfd7053ef975797f98dcb32834a5fbf91b5ec9ba,14,174.0,70.0,0.6862745098039216
Stamina RPG 6/[14] [180] Deviltry Rattle,2d1222e26baf0c6bd6ad49d18ad77f74b75889f1,14,180.0,78.0,0.5611510791366906
Stamina RPG 6/[14] [180] Digital Warrior,b654fe06eb91b7e133a88ca8ca52adb587c3a56b,14,180.0,85.0,0.68
Stamina RPG 6/[14] [144] Dog Days Bliss (Album Edit),938ef9a46175c78085a3ac88f889bc30e42d289d,14,144.0,249.0,0.8527397260273972
Stamina RPG 6/[14] [196] Fafnir,46928a00833c5ae6d896a6bf06dc4b20fa867ba9,14,196.0,37.0,0.4868421052631579
Stamina RPG 6/[14] [159] Fullmoon,f21195da469c415cf2c7d14abc977104b4e3c29c,14,159.0,129.0,0.8431372549019608
Stamina RPG 6/[14] [150] Galactic Core,b064ced0954cbb60fd8a7c8ccb3beb3e1c8d624f,14,150.0,211.0,0.8508064516129032
Stamina RPG 6/[14] [190] Grayed Out (Hard),d1589d6630782b9cc3052b03ec8e3798a9ab895f,14,190.0,29.0,0.3972602739726027
Stamina RPG 6/[14] [155] Grimoire of Blue,81feb7628a23c19a446e3d918d18b37e225fd010,14,155.0,104.0,1.0
Stamina RPG 6/[14] [166] Halloween,3f8fd2b7cb3a24de778e3aac2b3a51469c32c81d,14,166.25,92.0,0.8679245283018868
Stamina RPG 6/[14] [157] Hyper Super Powers,3efd24bb4b256be87e8d4d3551ed9b7489ef5b50,14,157.0,143.0,0.8171428571428572
Stamina RPG 6/[14] [174] I Don't Wanna Wake Up,d9d8ef38dcd058b1d6102424e010565fe6b430d5,14,174.0,91.0,0.7109375
Stamina RPG 6/[14] [180] ICEBLAST,8385b08d34927e34d398ee2ea1f48e446159725d,14,180.0,89.0,0.717741935483871
Stamina RPG 6/[14] [174] Realize (Hard),14c3710b57aaf91abb7f2cb5457d7cf98fe83e55,14,174.0,85.0,0.6692913385826772
Stamina RPG 6/[14] [165] Red Five,5308685bf3e2f88a76f20486b3b115d68d7614e0,14,165.0,111.0,0.9024390243902439
Stamina RPG 6/[14] [146] Sailing In The Sea Of Mushroom,b46fe20a30fef7604bd57d87338b0a5d36a29de9,14,146.2,240.0,0.9125475285171103
Stamina RPG 6/[14] [160] Scarlet Rose,ba4564506a26e6d484edcd581c3ee99261322555,14,160.0,111.0,0.925
Stamina RPG 6/[14] [190] Source of Creation,c5b2c916594a05d357f9866b17a82e4772ebfe25,14,190.0,76.0,0.5714285714285714
Stamina RPG 6/[14] [148] Unknown order,b50f6d59ea9172201d8acdadcadc7faa7f857a83,14,148.0,142.0,0.9726027397260274
Stamina RPG 6/[15] [203] 2 MINUTES FIGHTERS,a839a894fc40334ade5ffda2bd91ad0ebd80650b,15,203.0,52.0,0.5909090909090909
Stamina RPG 6/[15] [202] 3017,ad319202ccf1b9eb5d93e57da71f74d3f9634359,15,202.0,64.0,0.6666666666666666
Stamina RPG 6/[15] [195] Archangel,cef6e0145c200cd763b0851531097e94f56ecc0b,15,195.0,70.0,0.7291666666666666
Stamina RPG 6/[15] [160] Babylon,085736022a06ded7981e1c217a2c3cb2449efa34,15,160.0,212.0,0.8796680497925311
Stamina RPG 6/[15] [197] Decretum,b1007fe30f7fb7cac726b977c8f6b7457a558c59,15,197.0,63.0,0.7682926829268293
Stamina RPG 6/[15] [161] Don't Turn It Off,8f6e0ffea0fdbec9ff68655844532a4d9420787b,15,161.0,155.0,0.9011627906976745
Stamina RPG 6/[15] [158] EMPTH,20f574c037be666830ba38eb970b9d9cb016b1a4,15,158.0,233.0,0.8726591760299626
Stamina RPG 6/[15] [163] GENE,ea759a14ef86e3a381d490e18e11258e535bf13c,15,163.0,194.0,0.8362068965517241
Stamina RPG 6/[15] [174] Girl in the Fire (Novice),df52f7d4826a7a286942f80febdac5a06e7fddc0,15,174.0,114.0,0.8028169014084507
"Stamina RPG 6/[15] [170] Hello, Morning (Assertive Hardcore Bootleg)",5af2a46155e5168cf7db4b24a04382fdeeac3213,15,170.0,114.0,0.76
Stamina RPG 6/[15] [180] Impious Dystopia,f3978500c7546333219d00f21ba7742174bee206,15,180.0,149.0,0.7061611374407583
Stamina RPG 6/[15] [178] Industrial Nation,6267513c7485ddf4ae465fc7ec0b2e05f0bb557a,15,178.0,114.0,0.6951219512195121
Stamina RPG 6/[15] [182] Itsuwari,06216a6e5d99dc4e8cd3ed34f4403df0628fe884,15,182.0,141.0,0.734375
Stamina RPG 6/[15] [150] kunkka-kunkka,6d3641c9d3df20dd1f5a8f19f460fd5cf7465376,15,150.0,311.0,1.0
Stamina RPG 6/[15] [190] Mind As Judgement,4250b4fc4fec8546f73e3bf902df4c7b2aa30b76,15,190.0,100.0,0.6329113924050633
Stamina RPG 6/[15] [165] REDRAVE,f6685cb85c1921e710cf052d530190f36c38227d,15,165.0,143.0,0.8362573099415205
Stamina RPG 6/[15] [174] Satellite,96995ee82c7a70d2bcd5e9cbcbf80a972cfc7106,15,174.0,100.0,0.9090909090909091
Stamina RPG 6/[15] [185] Shadows in the Light,2e2af183cd8d1fed3563832fa34a176c9e9cf9e5,15,185.43,74.0,0.891566265060241
Stamina RPG 6/[15] [200] Sigmund (Easy),ebc6a36fc709710c083d3a88d3e1e75e5404e32f,15,200.0,56.0,0.7
Stamina RPG 6/[15] [157] Spitfire,1b8e43b641a651b4d6ed0aea68239d0e58eb3c88,15,157.0,173.0,0.8963730569948186
Stamina RPG 6/[15] [188] Virtual Paradise,4c713c1b33729b410e9beac450e88669423d7e63,15,188.0,79.0,0.7053571428571429
Stamina RPG 6/[15] [191] Wolves Standing Towards Enemies,d4094b12c889d44db3e95bb9cbf03016089596ad,15,191.0,81.0,0.7431192660550459
Stamina RPG 6/[16] [196] Aragami,49f344620eb448a208f68370245b7babb59edd98,16,196.005,90.0,0.7086614173228346
Stamina RPG 6/[16] [185] Ars Magna,235fc70d73235026f5edf9fe15495c03ed65a471,16,185.0,177.0,0.8082191780821918
Stamina RPG 6/[16] [175] Back 2 You (Novice),88c89f4288b3de672c436921de0c473be4bcb263,16,175.0,213.0,0.83203125
Stamina RPG 6/[16] [207] BroGamer (Extended Mix),c8748ac5bd2a7fa92828f0b729bcf93dac0730f0,16,207.0,89.0,0.6312056737588653
Stamina RPG 6/[16] [195] CENSORED!!,64fd5c66c68c9a503d775a2a3aee35e70997644b,16,195.0,107.0,0.7278911564625851
Stamina RPG 6/[16] [205] Core,bd70d1f78a46b194c7dec2b836fd91c432796c34,16,205.0,99.0,0.7557251908396947
Stamina RPG 6/[16] [191] Critical Crystal,77ae293fc1f9f002f494049fbcfa9024bf44bf28,16,191.0,117.0,0.785234899328859
Stamina RPG 6/[16] [190] Fairy Snow Angel,7ccac54fd37a4d3cbf45551bfe786394d4c45f15,16,190.0,159.0,0.8238341968911918
Stamina RPG 6/[16] [180] I'm Not Crazy,ee38049fce6cf948e2ccbd01a97f54b577257f25,16,180.0,190.0,0.6551724137931034
Stamina RPG 6/[16] [175] mirage,1607cd36706dbd65f4460e74838ae49a63a34970,16,175.0,200.0,0.9259259259259259
Stamina RPG 6/[16] [202] Saccharin Sweet Nightmare,03c7e4784a3f054401683ad719ef82254a621154,16,201.5,124.0,0.5714285714285714
Stamina RPG 6/[16] [166] Tetragrammaton Labyrinth,36c52b1fa220d72fbe191612e0479bf3de3d411c,16,166.0,256.0,0.9014084507042254
Stamina RPG 6/[16] [166] The Blue Sanctuary,0f739e6f5e8cd5cf9a6838c34aa2e6c7b83ece93,16,166.064,437.0,0.9258474576271186
Stamina RPG 6/[16] [200] THE DEEP STRIKER,fb873f2e7278e55f7192e55ae748233b188f122d,16,200.0,110.0,0.7096774193548387
Stamina RPG 6/[16] [185] Travel Inside,9536c3b311ebcccf96f485496927ff4005ff0676,16,185.0,117.0,0.7267080745341615
Stamina RPG 6/[16] [175] United (L.A.O.S. Remix),d9d5b7000ace0e73f7a8b4ad604e311fa4d868f8,16,175.0,166.0,0.8469387755102041
Stamina RPG 6/[16] [167] unnatural,b627d0c62e1a397ff133d10dc94ead2656e28dde,16,167.0,238.0,0.9834710743801653
Stamina RPG 6/[16] [177] White Weirdo,0ab4c8fef7dc7cab0726871098d45d3faf8e2b5b,16,177.0,229.0,0.8149466192170819
Stamina RPG 6/[16] [181] Wrath of the divine wing (Hard),112502f2a8492f34a5971ff694a0ea5fbfff059c,16,181.0,161.0,0.9817073170731707
Stamina RPG 6/[17] [195] Amulet of Justice,1ae3198b6a0726243481c612ac2486d2967cb6b2,17,195.0,183.0,0.8755980861244019
Stamina RPG 6/[17] [200] BE AS ONE,c798ad1b5b930c72dda414f94f342c3bf5a1fdbd,17,200.0,154.0,0.7298578199052133
Stamina RPG 6/[17] [205] Chrome VOX,f15533ef22b028d63bd2a7c75266820cf697e595,17,205.0,126.0,0.6461538461538462
"Stamina RPG 6/[17] [210] Flying Clouds, Drifting Haze",9db95544caab902f4cbc4d7c1f47630897f49f4c,17,210.0,98.0,0.765625
Stamina RPG 6/[17] [174] Forgotten Destruction,5a47d70e00b69b0a6e926d27608c95dbb4b09915,17,174.0,561.0,0.8385650224215246
Stamina RPG 6/[17] [180] Global Down,6a642b70f0beacd389f86e33eb68a0383e238c2f,17,180.0,288.0,0.8944099378881988
Stamina RPG 6/[17] [218] Goblin Humpa,a26b61d0df287f42adad40237c9f9f82d280bf2f,17,218.0,76.0,0.5714285714285714
Stamina RPG 6/[17] [192] Mad Mood,7cfefc61e11cbccb50a851a734785479433d4fbb,17,192.0,241.0,0.8169491525423729
Stamina RPG 6/[17] [184] ministry of shit,d73cf73c164819ede83d63410c05b3cb3c91cf2e,17,184.0,251.0,0.9330855018587361
Stamina RPG 6/[17] [189] pon,2694d87b423b97adad5d953e3c88bdf791532f79,17,189.0,188.0,0.9170731707317074
Stamina RPG 6/[17] [190] Popcorn Pulsar!!,34960da78b639f46478275980d33a345470fa507,17,190.0,207.0,0.8023255813953488
Stamina RPG 6/[17] [198] Rebirth the end (Part I - Sasanqua),871f6827baabe7189a82b8ec8ce2a7d62ef247c7,17,198.0,218.0,0.734006734006734
Stamina RPG 6/[17] [180] Stardust Curry,c7c0f0592ac546a7a1d77a1cdb43e043d068691b,17,180.0,295.0,0.8126721763085399
Stamina RPG 6/[17] [178] The Edge of the World,9caf94cd1c544466dbb94f714651054b8035e02a,17,177.542,325.0,0.8165829145728644
Stamina RPG 6/[17] [174] Toxic Shock (Novice),6b89f8e5b1b96f3b0ed9cbc3d202ae03e1cddc94,17,174.0,316.0,0.9432835820895522
Stamina RPG 6/[17] [203] Whispers In The Dark,2699b8b39eaf5d0067266ca866d8979f6a6fbdd3,17,203.0,212.0,0.7571428571428571
Stamina RPG 6/[17] [207] winkles twinkle '11,ebd71d625ba33d63b0ed286483901cbc55aefe95,17,207.002,143.0,0.7295918367346939
Stamina RPG 6/[17] [210] You & DIE,39ae880e3728d99f736c1d7a83524568008079e0,17,210.0,128.0,0.6183574879227053
SRPG6 NNP/[11] [130] Black Room Boy,6c1356eeaa2166dd46a13532d29023b8cbaeff33,11,130.0,32.0,1.0
SRPG6 NNP/[12] [140] Amazing (Frisco Mix),bb77865ca3b730ae7db3a73ae5db25d124fc55c6,12,140.0,32.0,1.0
SRPG6 NNP/[12] [150] Electric Angel,492fd6b0b4bd4596328cb0ac7439b83c7bbb71a6,12,150.0,32.0,1.0
SRPG6 NNP/[12] [160] Battle Train,f811237798376520f47bc6f520a6d239fc3d1782,12,160.0,32.0,1.0
SRPG6 NNP/[13] [170] Escape,980839bc07059421cd48751b45dfe5222f6a7e44,13,170.0,32.0,1.0
SRPG6 NNP/[13] [180] Fireball,72e638eeaecae8d35293323116030831dd14030d,13,180.0,32.0,1.0
SRPG6 NNP/[14] [190] SEDUCTION (Vocal Remix),bcd25d0007907ee639aeefcd96adaed9fd9feebd,14,190.0,32.0,1.0
SRPG6 NNP/[15] [200] Spacetime,a58ae69fc790520c255f554ef2cc213ffd2e5612,15,200.0,32.0,1.0
SRPG6 NNP/[15] [210] Descend of Scarlet Devil,169b50dfdca6d97b20386617441f9b54fcc173c6,15,210.0,32.0,1.0
SRPG6 NNP/[16] [220] Sunshine Coastline,56498f8f08dc1d2e3f1bfe4e1d88a7cbbb0748b5,16,220.0,32.0,1.0
SRPG6 NNP/[17] [230] Yuudachi no Ribbon,7c386f4b4744d49986f3dcae33e5f984862541e7,17,230.0,32.0,1.0
SRPG6 NNP/[18] [240] Whazashmup,36ae9f8e10683dbf00a5b25daf89708fb18c622b,18,240.0,32.0,1.0
SRPG6 NNP/[19] [250] Starflight,d1201285cfaa88fd159190cc808c730f113a2fdd,19,250.0,32.0,1.0
SRPG6 NNP/[21] [260] South Bank,003c8eb0be61bda41074095ed9b291e5b47aa014,21,260.0,32.0,1.0
SRPG6 NNP/[22] [270] Holy Orders (Be Just or Be Dead),093a61d6be2dc86c2c43dc115c18ae6457f0fed2,22,270.0,32.0,1.0
SRPG6 NNP/[23] [280] Look To The Sky (True Color Mix),7652f660eb05a9e227ec2ac55e8d82c4e1285028,23,280.0,32.0,1.0
SRPG6 NNP/[24] [300] Departure 6,c64d5f0ede833514583ca6d6e9cd4ffaeb3f2641,24,300.0,32.0,1.0
SRPG6 NNP/[24] [290] MENTAL MELTDOWN,9faebd716773d4344dcb919f212200f05fd485de,24,290.0,32.0,1.0
SRPG6 NNP/[25] [310] Lady Maria of the Astral Clocktower,6551673dffbc063f4a96d23a5a8b1197f7fe5424,25,310.0,32.0,1.0
SRPG6 NNP/[26] [320] Dancer in the Dark,c011d5470dd070cb6ec77876a563eeaf26ddefe4,26,320.0,32.0,1.0
SRPG6 NNP/[26] [330] Odin,c786da3396a932ef3574939dea3e428c7e7ed666,26,330.0,32.0,1.0
